tidsperiod,indikator,plats,vardegrupp,vardetyp,antal_fall,konfidensintervall_lag,konfidensintervall_hog,varde
2017,330,17,5,4,3781,11.3514005303927,13.4503504568157,12.3776778629992
2012,330,25,4,4,3783,8.32855343584184,10.1752795009808,9.25191646841131
2013,330,17,5,4,3798,8.87448516989246,10.7674316284224,9.82095839915745
2013,330,13,4,4,3800,8.29108451107881,10.1299681205001,9.21052631578947
2017,330,21,5,4,3811,10.0512098802214,12.0392498030649,11.0207294673314
2015,330,13,4,4,3820,8.22243107739054,10.04982023151,9.13612565445026
2015,330,17,5,4,3832,10.3222778590144,12.3290791347225,11.3256784968685
2014,330,17,5,4,3836,9.76051793162031,11.7201911403296,10.740354535975
2013,330,24,4,4,3847,10.2817809848506,12.2812551472003,11.2815180660255
2015,330,20,5,4,3869,7.52603278347186,9.27417398830379,8.40010338588783
2012,330,17,4,4,3870,8.1649669760976,9.97456790762333,9.06976744186047
2017,330,21,4,4,3875,10.4294322326549,12.4308235791154,11.4064516129032
2015,330,25,4,4,3891,7.82627690976649,9.5985496129783,8.7124132613724
2012,330,06,5,4,3895,7.06008119278683,8.75506643237363,7.90757381258023
2016,330,17,4,4,3908,8.37854590556539,10.1987314741685,9.28863868986694
2013,330,21,4,4,3912,9.00600878308191,10.8815167792903,9.94376278118609
2016,330,21,4,4,3915,9.07249014019979,10.9530526439637,10.0127713920817
2014,330,21,4,4,3919,9.87107377026706,11.8181326599447,10.8446032151059
2015,330,21,5,4,3942,9.39915497831879,11.3009972286827,10.3500761035008
2014,330,25,4,4,3962,9.03681361131763,10.9026109217465,9.96971226653205
2016,330,20,4,4,3964,7.53704877727554,9.26416212080721,8.40060544904137
2014,330,20,5,4,4007,7.66994214862073,9.40018512864406,8.53506363863239
2013,330,25,4,4,4010,8.59364479891749,10.4088489666685,9.50124688279302
2017,330,20,4,4,4017,7.25015385444192,8.93425738968036,8.06572068707991
2016,330,10,1,4,4020,8.97721895225048,10.8237760726251,9.90049751243781
2012,330,20,4,4,4055,7.20255513323841,8.87635978661362,8.03945745992602
2013,330,20,5,4,4066,8.30990468301005,10.0865537527991,9.19822921790457
2012,330,10,1,4,4077,9.01560324164377,10.8519464272304,9.93377483443709
2017,330,17,4,4,4098,10.4924421941005,12.4414708276763,11.444607125427
2013,330,17,4,4,4116,9.2093602884099,11.053030382144,10.131195335277
2017,330,10,1,4,4122,8.59232958551645,10.3790951557048,9.46142649199418
2012,330,05,5,4,4126,7.7946017292097,9.51029405363083,8.65244789142026
2015,330,17,4,4,4126,9.07064619544768,10.9002699460938,9.98545807077072
2015,330,20,4,4,4172,7.15940662234167,8.8041600123659,7.98178331735379
2014,330,17,4,4,4216,9.44517662154469,11.2853736630853,10.365275142315
2015,330,21,4,4,4220,10.3708043201998,12.2832241158192,11.3270142180095
2016,330,06,5,4,4225,8.69808047223106,10.473517160905,9.58579881656805
2017,330,06,5,4,4230,9.4366648058489,11.2708151928696,10.3309692671395
2013,330,06,5,4,4263,8.71008414752031,10.4782808536526,9.59418250058644
2017,330,07,1,4,4296,8.93382909960562,10.7117127101861,9.79981378026071
2014,330,06,5,4,4301,8.36533991051065,10.095483153893,9.23041153220181
2014,330,10,1,4,4307,9.73552257111127,11.5786172013522,10.6570698862317
2014,330,20,4,4,4326,6.70519821260222,8.27399734911762,7.48959778085992
2012,330,07,1,4,4334,7.96998893849781,9.65806828346804,8.81402861098293
2013,330,20,4,4,4359,6.91638097185861,8.49999893178902,7.70818995182381
2016,330,06,4,4,4368,7.55742480567814,9.20081695256362,8.37912087912088
2015,330,10,1,4,4395,8.77445438347026,10.5201986313193,9.64732650739477
2015,330,06,5,4,4407,8.51101458327189,10.2318944251238,9.37145450419787
2016,330,05,5,4,4424,9.08556354229323,10.8511453184663,9.96835443037975
